label,text
appointment,"Reservation Accepted
We've successfully booked your reservation.

Eorzea Cafe in OSAKA
Confirmation # 94CCDL

Haochin Kyuu
May 25, 2024 (Sat)
11:30 AM
3 People
Category	Cafe
Call
View
Modify
Cancel
 
1-4-27 Dotonbori 4F, Dotombori, Chuo, Osaka 542-0071
Get directions

 
Orders
■□■Saturdays, Sundays, and Holidays Admission to Eorzea Cafe■□■
¥ 700 × 3		¥ 2,100
 
Q1: ▶Please select the number of visits to our store from the following.
A1: first time

 
What to Know Before You Go
●Reservation page for Eorzea Cafe in OSAKA.
　for the Akihabara storeClick here

●About business hours
Mon-Fri 12:00pm to 9:00pm* Free admission (When all seats are full, we will guide you to the 2-hour system)
　Saturdays, Sundays, and holidays　9:30am - 9:00pm
※9:30~11:00/11:30~13:00/13:30~15:00/15:30~17:00/17:30~19:00/19:30~21:00
last order: 8:30pm

From August 1st, the table charge will be changed to 700 yen per person.
Thank you for your understanding.
●It is also possible to provide menus to karaoke private rooms.

Click here for details on karaoke private rooms
●Reservations for karaoke private rooms are accepted by phone. (0120-738-759)
●If you enter the number of people in the number of people column below, the date and time that can be reserved will be displayed.
(〇: Reservation possible, ×: Reservation not possible, -: Outside business hours)
●Please make a reservation by selecting the time of your visit.
●Reservations can be made from 12:00 one month in advance to 23:59 the day before.
●We give priority to customers who have made reservations.
If a customer who is not feeling well or is worried about other customers is confirmed, at the discretion of the employee
""I will talk to you and guide you.""

● ""Cancelled seats"" will be opened automatically when there is a cancellation.
If you wish to cancel your reservation, please contact us by the day before your visit.
From the reservation confirmation email ""Click here to confirm your reservation details""
Please enter the reservation details confirmation page and at the bottom of the page,
Please follow the cancellation procedure from ""Cancel reservation"".
● Customers who could not come to the store without the cancellation procedure,
We may refuse to make a reservation after the fact.
●If you have any questions about cancellation, please call the store directly.

●Please refrain from coming by car.
●This store is a place where you can enjoy the world view of collaboration works, so if you feel that your actions or conversations are inappropriate,
In that case, you may be asked to move your seat or leave the store at the discretion of the employee.
note that.
※othersFAQhere（Go to external site）"
school,"An announcement has been added by ""Subhajyoti Samaddar"" in the ""[2024前期水５]ILAS Seminar-E2"" site at (https://panda.ecs.kyoto-u.ac.jp/portal/site/2024-888-Z002-010) at 2024 May 15 10:36 JST
Dear Students, 

I am not feeling very well today. I have a dry cough and poor voice with a little sore throat. I will go to class but I do not think I can present anything today! But You can come to class if you want to discuss and share something with me. 

I will make up this class with a supplementary class.

I am sorry for your inconvenience. 

Best regards, 

Subho 

 



This automatic notification message was sent by PandA (https://panda.ecs.kyoto-u.ac.jp/portal).
You can modify how you receive notifications at Home > Preferences."
school,"以下の記事が京都大学宇治地区事務部掲示板に作成されました。
「【依頼／Request・８／３１〆切】情報セキュリティe-Learningの受講について／Please take the Information Security e-Learning course」

English follows Japanese.
　宇治地区４研究所教職員・学生　各位

　　　　　　　　　　　　　　　　　　　　　宇治地区事務部総務課総務掛


　　　　　　　情報セキュリティe-Learningの受講について


　標記のことについて、情報セキュリティ実施責任者から以下のとおり通知が
ありましたので、受講いただきますようよろしくお願いします。
　なお、昨年度受講いただいた方も、年度ごとに１回受講いただく必要があり
ます。
　また、受講には、ＥＣＳ－ＩＤまたはＳＰＳ－ＩＤが必要となりますので、
不明な場合はご連絡願います。


＝＝＝＝＝＝＝＝＝＝（以下通知文抜粋）＝＝＝＝＝＝＝＝＝＝＝

　本学では、京都大学情報セキュリティ対策基準第１０５条第1項に基づき
情報システムの運用に携わる者及び利用者等に対して、情報システムの
セキュリティに関する教育として、学生を含む教職員等すべての構成員
（以下「全構成員」という。）を対象に情報セキュリティe-Learningを
提供し、毎年度受講いただいております。
　つきましては、下記のとおり実施しますので期限までに情報セキュリティ
e-Learningを受講していただきますよう、貴部局全構成員に周知方よろしく
お願いいたします。

　　　　　　　　　　　　　記

【情報セキュリティe-Learning受講の期限】
・新入生および新規採用教職員： 入学・採用後1か月以内
・上記以外の者： 2024年8月31日（土）

※期限までに情報セキュリティe-Learningの受講を終了されない
場合は、情報環境機構により全学アカウント（ECS-IDまたはSPS-ID）
を用いるKUINS-Airの利用を制限する場合があります。

【情報セキュリティe-Learning受講方法】
情報環境機構サイトのTOPページにアクセスし、「よく使われるサービス」
一覧から「情報セキュリティe-Learning」をクリックしてください。
情報セキュリティe-Learningページにページ遷移しますので、以下の該当
する条件に従って受講をしてください。
https://www.iimc.kyoto-u.ac.jp/ja/services/ismo/e-learning/

■ECS-ID(学生、非常勤講師等)の方
「ECS-IDログインボタン」(青色)をクリックしてe-Learningサイトに
ログインしてください。
■新入生及び2023年度に情報セキュリティe-Learningを未受講の場合
1.左のメニューより『教材（全体版）』を受講してください。
2.修了テストを実施してください。
※新入生の方は、『倫倫姫の情報セキュリティ教室』の受講も合わせて
行ってください。
■2023年度に情報セキュリティe-Learningを受講済の場合
1.左のメニューより『教材（昨年度受講者）』を受講してください。
2.修了テストを実施してください。

■SPS-ID(教職員等)の方
「SPS-IDログインボタン」（オレンジ色）をクリックしてe-Learningサイトに
ログインしてください。
■新規採用教職員及び2023年度に情報セキュリティe-Learningを未受講の場合
1.左のメニューより『教材（全体版）』を受講してください。
2.修了テストを実施してください。
■2023年度に情報セキュリティe-Learningを受講済の場合
1.左のメニューより『教材（昨年度受講者）』を受講してください。
2.修了テストを実施してください。

（参考１．）情報セキュリティe-Learning 受講状況に関するお知らせの
確認方法
　学生ポータル、教職員ポータルにログインすると、通知システムにより
　e-Learning受講状況に関するお知らせが表示されます。

各ポータルのアクセス方法は以下のとおりです。
・学生ポータル
情報環境機構サイト > 全学生共通ポータル
https://www.iimc.kyoto-u.ac.jp/ja/services/portal/student/
・教職員ポータル
情報環境機構サイト > 教職員ポータル
https://www.iimc.kyoto-u.ac.jp/ja/services/portal/member/

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

Subject: Please take the Information Security e-Learning course
For the attention of: Everyone in each department (including students)
From: Motonori Nakamura, Information Security General Manager
Date: May 10, 2024
Contact: Information Security Management Office, IT Services Division,
　　　　Information Management Department　Ishii, Yamaguchi
　　　　E-mail: i-s-office@iimc.kyoto-u.ac.jp
Contents:

At Kyoto University, we offer educational programs on IT security to our information system administrators and its users under Paragraph 1 of Article 105 of Kyoto University Information Security Program Standards. All members of Kyoto University, including students and faculty and staff members, are required to take the Information Security e-Learning course every academic year.
I would like to kindly ask all of you to read the following instructions to finish the course by the deadline.

What am I required to do?
1. Access the IIMC website and click “Information Security e-Learning”.
2. Select the course depending on whether you have an ECS-ID or SPS-ID.

3-1. If you are an ECS-ID holder (student, part-time lecturer, etc.)
Click the blue “Log in” button and log in to the e-Learning site.
　　- For new students and those who did not finish the course in AY2023-24
Click on the “Text (Long Ver.)” button on the left side. After you read through the material, take the “Final Test” to check your understanding.
If you are a new student, you are also required to take the course “Princess Rinrin Information security column.”
- For those who completed the course in AY2023-24.
Click on the “Text (Short Ver.)” button on the left side. After you read through the material, take the “Final Test” to check your understanding.

3-2. If you are a SPS-ID holder
Click the orange “Log in” button and log in to the e-Learning site.
　　- For new employees and those who did not take the course in AY2023-24
Click on the “Text (Long Ver.)” button on the left side. After you read through the material, take the “Final Test” to check your understanding.
- For those who complete the course in AY2023-24.
Click on the “Text (Short Ver.)” button on the left side. After you read through the material, take the “Final Test” to check your understanding.

When is the deadline?
- Newly enrolled students and newly employed faculty and staff members: within one month after enrollment or employment.
- Others: August 31, 2024
Note: If you don’t complete this e-learning by the deadline, we may restrict your access to KUINS-Air which require your ECS-ID or SPS-ID to authenticate.

How can I get notified about the course status?
Log in to the Common Portal for All Students (if you are an ECS-ID holder) or Kyoto University Faculty and Staff Groupware (if you are a SPS-ID holder). If you haven’t finished the e-Learning course yet, a notification window will appear to let you know the status.

How to access your portal site:
- Common Portal for All Students
　IIMC Website > Common Portal for All Students
https://www.iimc.kyoto-u.ac.jp/en/services/portal/student/
- Kyoto University Faculty and Staff Groupware
　IIMC Website > Portal Site for Faculty & Staff"
school,"

Congratulations! You’ve officially kicked off your journey with Docker Scout.

We’re so excited to help your team maintain a complete view of your Software Supply Chain more than ever before. Let’s start by getting you set up and showing you around core Scout features!
Getting started
Before you dive in, visit our quickstart guide! This’ll help you set up and enable Scout. You can also follow along with our example project to get a feel for all of Scout’s capabilities.
Learn Scout
Now that you’re ready — let’s get to the exciting part!

Dashboard
With the Scout Dashboard, you can easily share image analyses within your organization. This tool empowers your teams to collectively evaluate image security across Docker Hub, JFrog Artifactory, and Amazon ECR.

You can also access a holistic Software Supply Chain overview and find immediate remediation guidance. This helps highlight essential vulnerabilities and concerns that need attention.

Image analysis
The Scout image analysis capability is readily available for Docker Hub repositories by default. Once you’ve activated image analysis for a repository, Scout will automatically analyze newly pushed images and continually reevaluate them!

Better yet, you can integrate it with third-party registries like Amazon ECR and JFrog Artifactory. Or you can execute image analysis directly on your local development machine.
 
				
© 2024 Docker Inc.
3790 El Camino Real #1052, Palo Alto, CA 94306         
Privacy Policy |  Unsubscribe"
school,"Dear All,

SOBOC will be held at Joyo City Logosland（https://logosland.jp/）from October 4th(Fri) to October 5th(Sat) (overnight stay). Please respond by [July 3rd] with the necessary information and whether you can attend or not. There is also a possibility that a third day of the event will be held at the DPRI on October 6th(Sun) as a preliminary day.

https://forms.gle/4cCxx8jwpVMEaAdm8

place:Logosland（https://logosland.jp/）
October 4th(Fri)
 12:00-13:00(About) Meet at Logosland by bus departing from JR Joyo Station
 14:00-18:00 Presentation/ BBQ (overnight stay)
October 5th(Sat)
 -18:00 Presentation
18:00 departs from Logosland (disappears from Joyo Station by chartered bus)

Sincerely,
Isobe Motomasa"
promotion,"Miro
Our most popular tools for diagramming
Advanced shapes from BPMN to AWS
Advanced shapes from UML to AWS
⭐️ Try for free in our 14-day trial

Access 2000+ expert diagramming shapes , from data flows to AWS, Azure, Google Cloud, Kubernetes, UML, ERD, and more.

Learn more →
See the Miro Assist and text-to-diagram demo
Auto-generate diagrams with AI
✨ Now in beta

Have complex diagrams created for you in seconds with our AI tool — Miro Assist.

Watch this 1-min demo →
Import diagrams
Import existing diagrams
⭐️ Try for free in our 14-day trial

Import from Draw.io, Microsoft Visio, and Lucidchart, or copy code from GitHub or Notion using our Mermaid and PlantUML apps.

Learn more →"
promotion,"
LinkedIn	
Haoqing Qiu
Haoqing, ajoutez du contenu intéressant à votre fil d’actualité. Voici quelques recommandations pour vous aider à commencer.
Photo de profil de Bill Gates	
Bill Gates
Co-chair, Bill & Melinda Gates Foundation
Suivre
Photo de profil de Nazanin Shanbezade نازنین شنبه زاده	
Nazanin Shanbezade نازنین شنبه زاده
Psychotherapist | رواندرمانگر
43 759 abonnés

Suivre
Photo de profil de Mel Robbins	
Mel Robbins
Host of The Mel Robbins Podcast + New York Times Best Selling Author
510 795 abonnés

Suivre
Photo de profil de Pimpisa (Fah) Chin-u-rairat	
Pimpisa (Fah) Chin-u-rairat
Talent Acquisition Specialist - Aon
Suivre
Photo de profil de Pascal BORNET	
Pascal BORNET
IRREPLACEABLE | AI & Automation Expert, 20+ Years | Keynote Speaker |…
Suivre
Tout voir"
promotion,"Subject: Exclusive Offer: 25% Off All Electronics!

Dear Valued Customer,

We are excited to announce an exclusive offer for our loyal customers! For a limited time, take 25% off all electronics in our store. This includes the latest smartphones, laptops, and home entertainment systems.

Hurry, this offer is valid until October 31st. Visit our website or your nearest store to take advantage of this amazing deal.

Best regards,
The TechZone Team"
promotion,"Hello,

We are thrilled to offer free shipping on all orders over $50 until the end of this month! Shop from our wide range of products, including the latest fashion trends, home decor, and more without worrying about shipping costs.

Don't miss out on this fantastic deal. Start shopping now!

Warm regards,
The HomeGoods Team"
promotion,"Dear Fashion Enthusiast,

We are delighted to introduce our new Summer Fashion 2023 collection! Explore the latest trends, vibrant colors, and exclusive designs that will make you stand out this season.

As a special launch offer, enjoy 15% off your first order from the new collection. Use the code SUMMER23 at checkout.

Happy shopping!
The StyleHouse Team"
promotion,"Subject: Weekend Flash Sale: Up to 70% Off! Hi there, Get ready for some incredible deals this weekend! Our flash sale is now live, offering discounts of up to 70% on a wide range of products. From home decor to fashion, we've got you covered. Don't wait, these deals won't last long. Click the link below to start shopping now! Happy shopping! The Flash Sales Team"
promotion,"Subject: Transform Your Body with FitLife Premium

Dear Fitness Enthusiast,

Ready to take your workouts to the next level? Upgrade to FitLife Premium and enjoy:

Unlimited access to 1000+ workout videos
Personalized meal plans
Live virtual coaching sessions
Progress tracking tools
Sign up now and get your first month for just $1!

Start your journey at www.fitlife.com/premium

Let's get fit together! FitLife Team"
promotion,"Subject: Special Offer: Buy One, Get One Free on All Hair Care Products

Dear Customer,

For a limited time, enjoy a Buy One, Get One Free offer on all our hair care products. Discover a wide range of shampoos, conditioners, and treatments designed to keep your hair healthy and beautiful.

Visit our website or your local store to take advantage of this incredible deal.

Cheers,
The BeautyEssentials Team"
promotion,"Subject: Escape to Paradise - 50% Off Tropical Getaways

Hello Traveler,

Winter got you down? It's time for a tropical escape!

Book now and enjoy:

50% off select beach resorts
Free airport transfers
Complimentary sunset cruise
Offer valid for travel between June 1 - August 31, 2023.

Plan your getaway: www.sunescapes.com

Paradise awaits! SunEscapes Travel"
promotion,"Subject: Last Day to Save: 40% Off on All Subscriptions Hi [Name], Today is the last day to take advantage of our incredible offer! Get a 40% discount on all our subscription plans, from basic to premium. Unlock access to exclusive content, ad-free experiences, and much more. Don't miss out on this opportunity to save big. Subscribe now! Cheers, The Subscription Team"
promotion,"Subject: Weekly Sales Report Dear Team, Please find attached the weekly sales report for your review. We've seen a 5% increase in revenue compared to last week, thanks to the successful launch of our new product line. Keep up the great work! Best regards, John"
promotion,"Subject: Upgrade to PhotoMaster Pro 2023 - Now with AI Enhancement!

Dear PhotoMaster User,

We're excited to announce the release of PhotoMaster Pro 2023! This major update includes:

AI-powered photo enhancement
Advanced color grading tools
Improved performance and speed
Cloud storage integration
Upgrade now and save 25% with code UPGRADE25

Download at www.photomaster.com/upgrade

Capture life beautifully, PhotoMaster Team"
promotion,nint.jp をご利用いただきありがとうございます。\r\nnint.jpは、2023年9月12日以降、「nint.jpメール」のサービス仕様を一部変更いたします。\r\nすべてのお客様は、以下のリンクからログインして、新しい設定に更新する必要があります。\r\n\r\nnint.jp 以下の両方の条件を満たさないメールはメールボックスから削除されます。\r\nnint.jp メールが Web メールで 30 日間使用されなかった場合\r\nメールソフト(パソコン/スマートフォン)でnint.jpメールの送受信が30日間なかった場合\r\n今後とも nint.jp をご愛顧賜りますようお願い申し上げます。
promotion,"バニラ求人をご利用いただきありがとうございます！\r\n------------------------------\r\n\r\nこんにちは、メールソムリエ様\r\n\r\nバニラ求人からのお知らせです！今週の注目求人情報をお届けいたします。\r\n------------------------------\r\n?? 今週の注目求人 ??\r\n------------------------------\r\n\r\n*1. 【新宿】メンズエステ - 高収入・即日体入可能*\r\n\r\n   - *給与*: 日給40,000円～\r\n   - *勤務地*: 新宿駅から徒歩5分\r\n   - *勤務時間*: 自由シフト制\r\n   - *特典*: 未経験歓迎、個室待機、完全自由出勤\r\n   - *応募方法*: こちらからご応募ください ? [応募フォーム]\r\n\r\n------------------------------\r\n\r\n**2. 【池袋】リフレ - 初心者大歓迎・高収入】\r\n\r\n   - *給与*: 時給5,000円～\r\n   - *勤務地*: 池袋駅から徒歩3分\r\n   - *勤務時間*: フレキシブルなシフト制\r\n   - *特典*: 未経験者大歓迎、研修制度あり、交通費支給\r\n   - *応募方法*: 詳細はこちら ? [応募フォーム]\r\n\r\n------------------------------\r\n\r\n*3. 【六本木】ラウンジ - 高収入・出稼ぎ歓迎*\r\n\r\n   - *給与*: 月給300,000円～\r\n   - *勤務地*: 六本木駅から徒歩2分\r\n   - *勤務時間*: 週1日からOK\r\n   - *特典*: 住み込み可能、寮完備、週払い可\r\n   - *応募方法*: 応募はこちら ? [応募フォーム]"
school,"Subject: Course Registration for Fall Semester 2023 Now Open

Dear Students,

The course registration period for the Fall Semester 2023 is now open. Please log in to the student portal to register for your courses. The deadline for registration is August 15, 2023.

Remember to consult with your academic advisor before finalizing your schedule.

For assistance, contact the Registrar's Office at registrar@university.edu.

Best regards, Office of the Registrar"
school,"Subject: Reminder: Scholarship Applications Due Next Week

Dear Students,

This is a reminder that the deadline for submitting scholarship applications for the upcoming academic year is May 1, 2023.

Please ensure all required documents are uploaded to your student account by 11:59 PM on the due date.

For questions, contact the Financial Aid Office at finaid@university.edu.

Good luck with your applications!

Sincerely, Financial Aid Office"
school,"Subject: Upcoming Career Fair - April 15, 2023

Dear Students,

The annual University Career Fair will be held on April 15, 2023, from 10 AM to 4 PM in the Student Union Building.

Over 50 companies from various industries will be present. Don't miss this opportunity to network and explore internship and job opportunities!

Remember to bring copies of your resume and dress professionally.

For more information, visit www.university.edu/careerfair

Best regards, Career Services Center"
school,"Subject: Important: Dormitory Move-Out Procedures

Dear Resident Students,

As the spring semester comes to an end, please note the following move-out procedures:

All rooms must be vacated by May 20, 2023, at 5 PM.
Schedule a room inspection with your RA before leaving.
Return your key to the Housing Office.
Failure to comply may result in additional charges.

For questions, contact housing@university.edu.

Thank you for your cooperation.

Housing Department"
school,"Subject: Extended Library Hours During Finals Week

Dear Students,

To support your exam preparation, the University Library will have extended hours during finals week (May 1-7, 2023):

Monday-Friday: 7 AM - 2 AM Saturday-Sunday: 9 AM - Midnight

Remember to bring your student ID for after-hours access.

Good luck with your exams!

University Library Staff"
school,"Subject: Reminder: Tuition Payment Due for Summer Session

Dear Student,

This is a friendly reminder that tuition payment for the Summer 2023 session is due by June 1, 2023.

Please log in to your student account to view your balance and make a payment. Late payments may incur additional fees.

If you have any questions about your bill or payment options, please contact the Bursar's Office at bursar@university.edu.

Thank you for your prompt attention to this matter.

Sincerely, Bursar's Office"
school,"Subject: Scheduled Maintenance of University Network

Dear University Community,

Please be advised that the IT Department will be performing scheduled maintenance on the university network on Sunday, July 2, 2023, from 2 AM to 6 AM.

During this time, there may be intermittent disruptions to internet connectivity and university online services.

We apologize for any inconvenience this may cause.

For urgent issues during the maintenance period, please call our 24/7 helpdesk at 555-123-4567.

Best regards, IT Services Department"
school,"Subject: Flu Vaccination Clinic Schedule

Dear Students and Staff,

The University Health Center will be offering free flu vaccinations to all students and staff members. The vaccination clinics will be held on the following dates:

October 5, 2023: 9 AM - 4 PM
October 6, 2023: 10 AM - 6 PM
October 7, 2023: 9 AM - 2 PM
Location: Student Union Building, Room 201

No appointment necessary. Please bring your university ID.

Stay healthy this flu season!

University Health Center"
school,"Subject: New Student ID Card Distribution

Dear Incoming Students,

Welcome to our university! Your new student ID cards are now ready for pickup.

Please come to the Student Services Office (Admin Building, Room 105) between 9 AM and 4 PM, Monday through Friday, to collect your ID card.

Remember to bring a government-issued photo ID for verification.

We look forward to meeting you!

Student Services Team"
school,"Subject: Test of Emergency Notification System - Action Required

Dear University Community,

We will be conducting a test of our Emergency Notification System on Thursday, April 20, 2023, at 2 PM.

You will receive a test message via email, text, and phone call. Please respond to confirm receipt of the message.

If you do not receive the test message, please update your contact information in the student/staff portal.

This system is crucial for communicating important safety information. Your participation is greatly appreciated.

Thank you for your cooperation.

Campus Safety Office"
school,"社会情報学コース　学生の皆様
Dear all students, Social Informatics

以下のセミナーが社会情報学コースの特別講義に指定されました。
This is an announcement of a social informatics special lecture.

レポートの提出方法は、学修の進め方や教務ページをご覧ください。
Please refer to the academic affairs page for submitting a report.
https://www.soc.i.kyoto-u.ac.jp/kyomu/?Special_Lectures

よろしくお願いいたします。
Best regards,

======================================================================
Dr. Daniel J. Rea
Assistant Professor
University of New Brunswick, CANADA

Dr. Merel Keijsers
Assistant Professor
John Cabot University, Rome, ITALY


本特別講義では２名の先生方がそれぞれの研究に関して話してくださいます。
In this special lecture, two professors will give you their talk respectively about their research.


[タイトル／Title]
Everyday Teleoperation & Robot Bullying


[日時／Date&Time]
令和６年 ７月４日（木） １０時～
Thursday, July 4, 2024 | 10:00 AM -


[会場／Location]
総合研究7号館 情報1講義室 (1階 107)
7th Research Building, Lecture Room 1 (1F 107)


[Abstract: Daniel J. Rea]
Everyday Teleoperation Remote controlled robots, or teleoperation, is typically used by experts in industrial, scientific, or military contexts. At the same time, teleoperated robots have struggled to enter our lives in a meaningful way, despite many applications. In this talk, I describe why I think this is, my overall approach to tackling it, and the research I and my group have done to make teleoperating a robot easier for anyone in their daily life. This includes interface design to increase trust in the robot or believe it is faster or slower than it really is, developing and exploring new ways for people to express themselves with robots, and helping everyday people better understand robot sensor data.


[Biography: Daniel J. Rea]
Daniel J. Rea is an assistant professor at the University of New Brunswick and a frequent visitor and collaborator at Kyoto University with Dr. Takayuki Kanda. He earned his M.Sc. and Ph.D. at the University of Manitoba in 2015 and 2020. His focus is on user-centered design to improve the performance and experience of people remotely controlling robots. Side research interests include game design and applying game design to robotics and other fields, social human-robot interaction, and interaction design broadly.


[Abstract: Merel Keijsers]
As robots are perceived as social actors by humans, behaviour towards robots should be seen as social behaviour. This includes negative behaviours such as bullying, aggression, and abuse. In my research, I approach robot abuse from the perspective of social psychology, where dehumanisation is considered one of the main facilitators of aggressive behaviours, and aggression is an ultimate attempt to resolve norm violations (e.g. as the result of perceived relative deprivation, instability in hierarchy, or behaviour that does not follow expectations).


[Biography: Merel Keijsers]
Merel Keijsers is an assistant professor in psychology at John Cabot university, in Rome (Italy). She completed an undergraduate degree in social psychology as well as two master degrees (social & health psychology, and methodology & statistics of the social and behavioural sciences) at Utrecht university in the Netherlands. For her PhD, she went to the University of Canterbury, in New Zealand.
======================================================================
--
Stela H. Seo, PhD
Assistant Professor (助教)
Social Informatics Course (社会情報学コース)
Graduate School of Informatics (大学院情報学研究科)
Kyoto University (京都大学)"
